sample	r_nnls	r_simplex	l1	l2
CLM95	0.000829000974205942	0.0012325436338434	0.000231496378552992	0.000127705641871925
CLM96	0.00106309939888979	0.00159868115020486	0.000713746302522827	0.000435158012754497
CLM97	0.0000466188077990904	0.0000357763976291578	0.000911185141949281	0.000538108351717441
CLM99	0.0000532027502483778	0.00000828102596198755	0.000305372939895424	0.000173753602561088
CLM100	0.000277845150956346	0.000547611391160838	0.000379607540869013	0.000192390605258874
CLM102	0.0000153995171482124	0.0000165571862667112	0.000233416051237106	0.000123700098053559
CLM103	0.000983885357696882	0.00142294976739428	0.00021184052579297	0.000139757370315153
CLM105	0.0000328731906525848	0.000144624372463675	0.000408485647916151	0.000242053589826884
CLM109	0.00066189088026045	0.00104826123354806	0.00013206901130329	0.0000669482956324561
CLM110	0.0000196559007117533	0.0000160158844138927	0.000214229352877862	0.000109738416780481
CLM112	0.0000218216682057094	0.000105159789211126	0.00015348780982706	0.000100410790321752
CLM113	0.00010926285522607	0.00104431398090022	1.01081304168936	0.414164246890462
CLM114	0.000136683543728137	0.000275635956308095	0.00047998484515744	0.000252469361190521
CLM116	0.0014040941797949	0.00185045353806941	0.000494123987931014	0.000298440416723007
CLM117	0.000515204174944893	0.000900496404906239	0.000473543294414555	0.000304672915491953
CLM119	0.000726745516208775	0.0011672916074114	0.0001817363691991	0.0000990630862010547
CLM122	0.000228907411540873	0.000501587533588875	0.000356174861108123	0.00021131348142958
CLM124	0.00125010719183848	0.00180242614681685	0.000411598265664635	0.000258404672177467
CLM130	0.000246101296271113	0.000415198618681543	0.000493177344913054	0.000233661863490942
CLM131	0.000128931477164235	0.0000247192074236411	0.000896301078665139	0.000471535385785914
CLM133	0.000013234327779378	0.0000631129000321281	0.0000621471153622599	0.0000371815416631134
CLM134	0.0000316576291217743	0.000130476861159377	0.00030565539835941	0.000185466006470758
CLM136	0.0000733406713108485	0.000241106372067163	0.000647347597948903	0.000385636369014429
CLM137	0.000121258974332619	0.000325275616859693	0.000480289857001617	0.000310858464003664
CLM139	0.000278008836074447	0.000509008704294333	0.000652528451112079	0.000339174519393683
CLM140	0.0001242755223725	0.000288380332026294	0.000248248029397019	0.000154327556891303
CLM142	0.000548203777505493	0.000909650240751927	0.000267763819213583	0.000140418869822581
CLM143	0.00017235198377334	0.000393598384291175	0.000179355467454324	0.000109036008602895
CLM145	0.000174466410530099	0.000401330746759942	0.000588183493515165	0.000348469283234315
CLM146	0.000062416088810602	0.000144713959210963	0.000558908961691973	0.000318378753182392
